Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
      510 |     +0.0% |       0 |       0 |             0 |      2754
      520 |     +0.0% |       0 |       0 |             0 |      2744
      530 |     +0.0% |       0 |       0 |             0 |      2734
      540 |     +0.0% |       0 |       0 |             0 |      2724
      550 |     +0.0% |       0 |       0 |             0 |      2714
      560 |     +0.0% |       0 |       0 |             0 |      2704
      570 |     +0.0% |       0 |       0 |             0 |      2694
      580 |     +0.0% |       0 |       0 |             0 |      2684
      590 |     +0.0% |       0 |       0 |             0 |      2674
      600 |     +0.0% |       0 |       0 |             0 |      2664
      610 |     +0.0% |       0 |       0 |             0 |      2654
      620 |     +0.0% |       0 |       0 |             0 |      2644
      630 |     +0.0% |       0 |       0 |             0 |      2634
      640 |     +0.0% |       0 |       0 |             0 |      2624
      650 |     +0.0% |       0 |       0 |             0 |      2614
      660 |     +0.0% |       0 |       0 |             0 |      2604
      670 |     +0.0% |       0 |       0 |             0 |      2594
      680 |     +0.0% |       0 |       0 |             0 |      2584
      690 |     +0.0% |       0 |       0 |             0 |      2574
      700 |     +0.0% |       0 |       0 |             0 |      2564
      710 |     +0.0% |       0 |       0 |             0 |      2554
      720 |     +0.0% |       0 |       0 |             0 |      2544
      730 |     +0.0% |       0 |       0 |             0 |      2534
      740 |     +0.0% |       0 |       0 |             0 |      2524
      750 |     +0.0% |       0 |       0 |             0 |      2514
      760 |     +0.0% |       0 |       0 |             0 |      2504
      770 |     +0.0% |       0 |       0 |             0 |      2494
      780 |     +0.0% |       0 |       0 |             0 |      2484
      790 |     +0.0% |       0 |       0 |             0 |      2474
      800 |     +0.0% |       0 |       0 |             0 |      2464
      810 |     +0.0% |       0 |       0 |             0 |      2454
      820 |     +0.0% |       0 |       0 |             0 |      2444
      830 |     +0.0% |       0 |       0 |             0 |      2434
      840 |     +0.0% |       0 |       0 |             0 |      2424
      850 |     +0.0% |       0 |       0 |             0 |      2414
      860 |     +0.0% |       0 |       0 |             0 |      2404
      870 |     +0.0% |       0 |       0 |             0 |      2394
      880 |     +0.0% |       0 |       0 |             0 |      2384
      890 |     +0.0% |       0 |       0 |             0 |      2374
      900 |     +0.0% |       0 |       0 |             0 |      2364
      910 |     +0.0% |       0 |       0 |             0 |      2354
      920 |     +0.0% |       0 |       0 |             0 |      2344
      930 |     +0.2% |       0 |      10 |             2 |      2334
      940 |     +0.5% |       0 |      28 |             5 |      2324
      950 |     +0.5% |       0 |      28 |             5 |      2314
      960 |     +0.5% |       0 |      28 |             5 |      2304
      970 |     +0.5% |       0 |      28 |             5 |      2294
      980 |     +0.6% |       0 |      34 |             6 |      2284
      990 |     +0.6% |       0 |      34 |             6 |      2274
     1000 |     +0.6% |       0 |      34 |             6 |      2264
     1010 |     +0.7% |       0 |      39 |             7 |      2254
     1020 |     +0.7% |       0 |      39 |             7 |      2244
     1030 |     +0.7% |       0 |      39 |             7 |      2234
     1040 |     +0.7% |       0 |      39 |             7 |      2224
     1050 |     +0.7% |       0 |      39 |             7 |      2214
     1060 |     +0.7% |       0 |      39 |             7 |      2204
     1070 |     +0.7% |       0 |      39 |             7 |      2194
     1080 |     +0.7% |       0 |      39 |             7 |      2184
     1090 |     +0.7% |       0 |      39 |             7 |      2174
     1100 |     +0.7% |       0 |      39 |             7 |      2164
     1110 |     +0.7% |       0 |      39 |             7 |      2154
     1120 |     +0.7% |       0 |      39 |             7 |      2144
     1130 |     +0.7% |       0 |      39 |             7 |      2134
     1140 |     +0.7% |       0 |      39 |             7 |      2124
     1150 |     +0.7% |       0 |      39 |             7 |      2114
     1160 |     +0.7% |       0 |      39 |             7 |      2104
     1170 |     +0.7% |       0 |      39 |             7 |      2094
     1180 |     +0.7% |       0 |      39 |             7 |      2084
     1190 |     +0.7% |       0 |      39 |             7 |      2074
     1200 |     +0.7% |       0 |      39 |             7 |      2064
     1210 |     +0.7% |       0 |      39 |             7 |      2054
     1220 |     +0.7% |       0 |      39 |             7 |      2044
     1230 |     +0.7% |       0 |      39 |             7 |      2034
     1240 |     +0.7% |       0 |      39 |             7 |      2024
     1250 |     +0.7% |       0 |      39 |             7 |      2014
     1260 |     +0.7% |       0 |      39 |             7 |      2004
     1270 |     +0.7% |       0 |      39 |             7 |      1994
     1280 |     +0.7% |       0 |      42 |             8 |      1984
     1290 |     +0.7% |       0 |      42 |             8 |      1974
     1300 |     +0.9% |       0 |      48 |            10 |      1964
     1310 |     +0.9% |       0 |      49 |            11 |      1954
     1320 |     +0.9% |       0 |      49 |            11 |      1944
     1330 |     +0.9% |       0 |      49 |            11 |      1934
     1340 |     +0.9% |       0 |      49 |            11 |      1924
     1350 |     +0.9% |       0 |      49 |            11 |      1914
     1360 |     +0.9% |       0 |      49 |            11 |      1904
     1370 |     +0.9% |       0 |      49 |            11 |      1894
     1380 |     +0.9% |       0 |      49 |            11 |      1884
     1390 |     +0.9% |       0 |      49 |            11 |      1874
     1400 |     +0.9% |       0 |      49 |            11 |      1864
     1410 |     +0.9% |       0 |      49 |            11 |      1854
     1420 |     +0.9% |       0 |      49 |            11 |      1844
     1430 |     +0.9% |       0 |      50 |            12 |      1834
     1440 |     +0.9% |       0 |      50 |            12 |      1824
     1450 |     +0.9% |       0 |      50 |            12 |      1814
     1460 |     +0.9% |       0 |      50 |            12 |      1804
     1470 |     +0.9% |       0 |      50 |            12 |      1794
     1480 |     +0.9% |       0 |      52 |            13 |      1784
     1490 |     +0.9% |       0 |      52 |            13 |      1774
     1500 |     +0.9% |       0 |      52 |            13 |      1764
     1510 |     +0.9% |       0 |      52 |            13 |      1754
     1520 |     +0.9% |       0 |      52 |            13 |      1744
     1530 |     +0.9% |       0 |      52 |            13 |      1734
     1540 |     +0.9% |       0 |      52 |            13 |      1724
     1550 |     +0.9% |       0 |      52 |            13 |      1714
     1560 |     +0.9% |       0 |      52 |            13 |      1704
     1570 |     +0.9% |       0 |      52 |            13 |      1694
     1580 |     +0.9% |       0 |      52 |            13 |      1684
     1590 |     +0.9% |       0 |      52 |            13 |      1674
     1600 |     +0.9% |       0 |      52 |            13 |      1664
     1610 |     +0.9% |       0 |      52 |            13 |      1654
     1620 |     +0.9% |       0 |      52 |            13 |      1644
     1630 |     +0.9% |       0 |      52 |            13 |      1634
     1640 |     +0.9% |       0 |      52 |            13 |      1624
     1650 |     +0.9% |       0 |      52 |            13 |      1614
     1660 |     +0.9% |       0 |      52 |            13 |      1604
     1670 |     +0.9% |       0 |      52 |            13 |      1594
     1680 |     +1.0% |       0 |      54 |            14 |      1584
     1690 |     +1.0% |       0 |      54 |            14 |      1574
     1700 |     +1.0% |       0 |      54 |            14 |      1564
     1710 |     +1.0% |       0 |      54 |            14 |      1554
     1720 |     +1.0% |       0 |      59 |            16 |      1544
     1730 |     +1.0% |       0 |      59 |            16 |      1534
     1740 |     +1.0% |       0 |      59 |            16 |      1524
     1750 |     +1.0% |       0 |      59 |            16 |      1514
     1760 |     +1.1% |       0 |      60 |            17 |      1504
     1770 |     +1.1% |       0 |      60 |            17 |      1494
     1780 |     +1.1% |       0 |      60 |            17 |      1484
     1790 |     +1.1% |       0 |      60 |            17 |      1474
     1800 |     +1.1% |       0 |      60 |            17 |      1464
     1810 |     +1.1% |       0 |      60 |            17 |      1454
     1820 |     +1.2% |       0 |      70 |            18 |      1444
     1830 |     +1.2% |       0 |      70 |            18 |      1434
     1840 |     +1.3% |       0 |      73 |            20 |      1424
     1850 |     +1.4% |       0 |      77 |            23 |      1414
     1860 |     +1.5% |       0 |      84 |            26 |      1404
     1870 |     +1.6% |       0 |      88 |            28 |      1394
     1880 |     +1.6% |       0 |      88 |            28 |      1384
     1890 |     +1.9% |       0 |     105 |            31 |      1374
     1900 |     +2.0% |       0 |     110 |            34 |      1364
     1910 |     +2.1% |       0 |     116 |            38 |      1354
     1920 |     +2.1% |       0 |     116 |            38 |      1344
     1930 |     +2.1% |       0 |     116 |            38 |      1334
     1940 |     +2.1% |       0 |     118 |            39 |      1324
     1950 |     +2.1% |       0 |     120 |            40 |      1314
     1960 |     +2.2% |       0 |     122 |            42 |      1304
     1970 |     +2.2% |       0 |     124 |            43 |      1294
     1980 |     +2.3% |       0 |     128 |            45 |      1284
     1990 |     +2.3% |       0 |     131 |            46 |      1274
     2000 |     +2.4% |       0 |     134 |            48 |      1264
     2010 |     +2.5% |       0 |     142 |            50 |      1254
     2020 |     +2.6% |       0 |     144 |            51 |      1244
     2030 |     +2.6% |       0 |     144 |            51 |      1234
     2040 |     +2.7% |       0 |     152 |            55 |      1224
     2050 |     +3.1% |       0 |     173 |            59 |      1214
     2060 |     +3.1% |       0 |     173 |            59 |      1204
     2070 |     +3.1% |       0 |     173 |            59 |      1194
     2080 |     +3.1% |       0 |     173 |            59 |      1184
     2090 |     +3.1% |       0 |     173 |            59 |      1174
     2100 |     +3.1% |       0 |     173 |            59 |      1164
     2110 |     +3.1% |       0 |     173 |            59 |      1154
     2120 |     +3.1% |       0 |     173 |            59 |      1144
     2130 |     +3.1% |       0 |     173 |            59 |      1134
     2140 |     +3.1% |       0 |     173 |            59 |      1124
     2150 |     +3.1% |       0 |     173 |            59 |      1114
     2160 |     +3.1% |       0 |     173 |            59 |      1104
     2170 |     +3.1% |       0 |     173 |            59 |      1094
     2180 |     +3.1% |       0 |     173 |            59 |      1084
     2190 |     +3.1% |       0 |     173 |            59 |      1074
     2200 |     +3.1% |       0 |     173 |            59 |      1064
     2210 |     +3.1% |       0 |     173 |            59 |      1054
     2220 |     +3.1% |       0 |     173 |            59 |      1044
     2230 |     +3.1% |       0 |     173 |            59 |      1034
     2240 |     +3.1% |       0 |     173 |            59 |      1024
     2250 |     +3.1% |       0 |     173 |            59 |      1014
     2260 |     +3.1% |       0 |     173 |            59 |      1004
     2270 |     +3.1% |       0 |     173 |            59 |       994
     2280 |     +3.3% |       0 |     186 |            63 |       984
     2290 |     +3.5% |       0 |     196 |            67 |       974
     2300 |     +3.5% |       0 |     198 |            68 |       964
     2310 |     +3.5% |       0 |     198 |            68 |       954
     2320 |     +3.5% |       0 |     198 |            68 |       944
     2330 |     +3.5% |       0 |     198 |            68 |       934
     2340 |     +3.6% |       0 |     202 |            69 |       924
     2350 |     +3.6% |       0 |     202 |            69 |       914
     2360 |     +3.7% |       0 |     207 |            70 |       904
     2370 |     +4.4% |       0 |     246 |            80 |       894
     2380 |     +4.7% |       0 |     264 |            87 |       884
     2390 |     +4.8% |       0 |     269 |            89 |       874
     2400 |     +4.8% |       0 |     269 |            89 |       864
     2410 |     +4.8% |       0 |     269 |            89 |       854
     2420 |     +4.8% |       0 |     269 |            89 |       844
     2430 |     +4.8% |       0 |     269 |            89 |       834
     2440 |     +4.8% |       0 |     269 |            89 |       824
     2450 |     +4.8% |       0 |     269 |            89 |       814
     2460 |     +4.8% |       0 |     269 |            89 |       804
     2470 |     +4.8% |       0 |     269 |            89 |       794
     2480 |     +4.8% |       0 |     269 |            89 |       784
     2490 |     +4.8% |       0 |     269 |            89 |       774
     2500 |     +4.8% |       0 |     269 |            89 |       764
     2510 |     +4.8% |       0 |     269 |            89 |       754
     2520 |     +4.8% |       0 |     269 |            89 |       744
     2530 |     +4.8% |       0 |     269 |            89 |       734
     2540 |     +4.8% |       0 |     269 |            89 |       724
     2550 |     +4.8% |       0 |     269 |            89 |       714
     2560 |     +4.8% |       0 |     269 |            89 |       704
     2570 |     +4.8% |       0 |     269 |            89 |       694
     2580 |     +4.8% |       0 |     269 |            89 |       684
     2590 |     +4.8% |       0 |     269 |            89 |       674
     2600 |     +4.8% |       0 |     269 |            89 |       664
     2610 |     +4.8% |       0 |     269 |            89 |       654
     2620 |     +4.8% |       0 |     269 |            89 |       644
     2630 |     +4.8% |       0 |     269 |            89 |       634
     2640 |     +4.8% |       0 |     269 |            89 |       624
     2650 |     +4.8% |       0 |     269 |            89 |       614
     2660 |     +4.8% |       0 |     269 |            89 |       604
     2670 |     +4.8% |       0 |     269 |            89 |       594
     2680 |     +4.8% |       0 |     269 |            89 |       584
     2690 |     +4.8% |       0 |     269 |            89 |       574
     2700 |     +4.8% |       0 |     269 |            89 |       564
     2710 |     +4.8% |       0 |     269 |            89 |       554
     2720 |     +4.8% |       0 |     269 |            89 |       544
     2730 |     +4.8% |       0 |     269 |            89 |       534
     2740 |     +4.8% |       0 |     269 |            89 |       524
     2750 |     +4.8% |       0 |     269 |            89 |       514
     2760 |     +4.8% |       0 |     269 |            89 |       504
     2770 |     +4.8% |       0 |     269 |            89 |       494
     2780 |     +4.8% |       0 |     269 |            89 |       484
     2790 |     +4.8% |       0 |     269 |            89 |       474
     2800 |     +4.8% |       0 |     269 |            89 |       464
     2810 |     +4.8% |       0 |     269 |            89 |       454
     2820 |     +4.8% |       0 |     269 |            89 |       444
     2830 |     +4.8% |       0 |     269 |            89 |       434
     2840 |     +4.8% |       0 |     269 |            89 |       424
     2850 |     +4.8% |       0 |     269 |            89 |       414
     2860 |     +4.8% |       0 |     269 |            89 |       404
     2870 |     +4.8% |       0 |     269 |            89 |       394
     2880 |     +4.8% |       0 |     269 |            89 |       384
     2890 |     +4.8% |       0 |     269 |            89 |       374
     2900 |     +4.8% |       0 |     269 |            89 |       364
     2910 |     +4.8% |       0 |     269 |            89 |       354
     2920 |     +4.8% |       0 |     269 |            89 |       344
     2930 |     +4.8% |       0 |     269 |            89 |       334
     2940 |     +4.8% |       0 |     269 |            89 |       324
     2950 |     +4.8% |       0 |     269 |            89 |       314
     2960 |     +4.8% |       0 |     269 |            89 |       304
     2970 |     +4.8% |       0 |     269 |            89 |       294
     2980 |     +5.0% |       0 |     283 |            93 |       284
     2990 |     +5.2% |       0 |     291 |            96 |       274
     3000 |     +5.2% |       0 |     292 |            97 |       264
     3010 |     +5.2% |       0 |     292 |            97 |       254
     3020 |     +5.2% |       0 |     292 |            97 |       244
     3030 |     +5.2% |       0 |     292 |            97 |       234
     3040 |     +5.2% |       0 |     292 |            97 |       224
     3050 |     +5.2% |       0 |     292 |            97 |       214
     3060 |     +5.2% |       0 |     294 |            98 |       204
     3070 |     +6.0% |       0 |     340 |            99 |       194
     3080 |     +6.0% |       0 |     340 |            99 |       184
     3090 |     +6.0% |       0 |     340 |            99 |       174
     3100 |     +6.0% |       0 |     340 |            99 |       164
     3110 |     +6.0% |       0 |     341 |           100 |       154
     3120 |     +6.5% |       0 |     364 |           109 |       144
     3130 |     +6.5% |       0 |     368 |           110 |       134
     3140 |     +6.5% |       0 |     368 |           110 |       124
     3150 |     +6.5% |       0 |     368 |           110 |       114
     3160 |     +6.5% |       0 |     368 |           110 |       104
     3170 |     +6.5% |       0 |     368 |           110 |        94
     3180 |     +6.5% |       0 |     368 |           110 |        84
     3190 |     +6.5% |       0 |     368 |           110 |        74
     3200 |     +6.5% |       0 |     368 |           110 |        64
     3210 |     +6.5% |       0 |     368 |           110 |        54
     3220 |     +6.5% |       0 |     368 |           110 |        44
     3230 |     +6.5% |       0 |     368 |           110 |        34
     3240 |     +6.5% |       0 |     368 |           110 |        24
     3250 |     +6.5% |       0 |     368 |           110 |        14
     3260 |     +6.5% |       0 |     368 |           110 |         4
    final |     +6.5% |       0 |     368 |           110 |         0
---------------------------------------------------------------------
[INFO RSZ-0034] Found 17 slew violations.
[INFO RSZ-0035] Found 110 fanout violations.
[INFO RSZ-0038] Inserted 368 buffers in 110 nets.
+ detailed_placement -max_displacement  500 100 
Placement Analysis
---------------------------------
total displacement      13079.9 u
average displacement        3.7 u
max displacement           37.7 u
original HPWL          123538.3 u
legalized HPWL         130261.9 u
delta HPWL                    5 %

[INFO DPL-0020] Mirrored 1487 instances
[INFO DPL-0021] HPWL before          130261.9 u
[INFO DPL-0022] HPWL after           128241.4 u
[INFO DPL-0023] HPWL delta               -1.6 %
Setting global connections for newly added cells…
[INFO] Setting global connections...
[INFO ODB-0403] 1194 connections made, 0 conflicts skipped.
Updating metrics…
Cell type report:                       Count       Area
  Buffer                                   32     232.24
  Timing Repair Buffer                    597    4332.79
  Inverter                                397    2160.95
  Sequential cell                         260   12737.09
  Multi-Input combinational cell         2240   24140.59
  Total                                  3526   43603.66
Writing OpenROAD database to '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/32-openroad-repairdesignpostgpl/CPU_TOP.odb'…
Writing netlist to '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/32-openroad-repairdesignpostgpl/CPU_TOP.nl.v'…
Writing powered netlist to '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/32-openroad-repairdesignpostgpl/CPU_TOP.pnl.v'…
Writing layout to '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/32-openroad-repairdesignpostgpl/CPU_TOP.def'…
Writing timing constraints to '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/32-openroad-repairdesignpostgpl/CPU_TOP.sdc'…
