2026-06-05 19:07:27 +0100: Memory Usage (436868K) : nldb_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (436996K) : digibnd_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437124K) : via1_drw has 14267 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437508K) : backmetal1_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437508K) : backmetal1_pin has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437508K) : backmetal1_mask has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437508K) : backmetal1_filler has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437636K) : backmetal1_nofill has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437636K) : backmetal1_slit has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_text has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_opc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_noqrc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_res has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_iprobe has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backmetal1_diffprb has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : backpassiv_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : res_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : sram_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : trans_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : ind_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : ind_pin has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : ind_text has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : salblock_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (437764K) : via2_drw has 14105 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_drw has 7242 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_pin has 81 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_mask has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_slit has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_text has 81 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_opc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_noqrc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_res has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_iprobe has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal3_diffprb has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : nwell_drw has 9407 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : nwell_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : nbulay_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : nbulay_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : nbulay_block has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : emwind_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : emwind_opc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : deepco_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : deepco_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : mim_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : edgeseal_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : edgeseal_bound has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : substrate_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : substrate_text has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : dfpad_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : dfpad_pillar has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : dfpad_sbump has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : thickgateox_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : pldb_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : pwell_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : pwell_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : pwell_block has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : ic_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : via3_drw has 2809 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_drw has 982 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_mask has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_slit has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_text has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_opc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_noqrc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_res has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_iprobe has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : metal4_diffprb has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : heattrans_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : heatres_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : pempoly_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438020K) : fbe_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438148K) : empoly_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438276K) : ldmos_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438276K) : pbiwind_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438404K) : digisub_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438404K) : nodrc_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438532K) : text_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438532K) : via4_drw has 1862 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438660K) : metal5_drw has 435 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438788K) : metal5_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438788K) : metal5_mask has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (438916K) : metal5_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439044K) : metal5_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439044K) : metal5_slit has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439172K) : metal5_text has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439172K) : metal5_opc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439300K) : metal5_noqrc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439300K) : metal5_res has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439428K) : metal5_iprobe has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439428K) : metal5_diffprb has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439556K) : radhard_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : memcap_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : varicap_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : flash_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : intbondvia_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : intbondmet_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : devbondvia_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : devbondmet_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : devtrench_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : redist_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphbot_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphtop_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : antvia1_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : antmetal2_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphcont_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : siwg_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : siwg_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : siwg_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : sigrating_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : singrating_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphpas_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : emwind3_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : emwihv3_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : redbulay_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : smos_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphpad_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : polimide_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : polimide_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_pin has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_esd has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_diode has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_tsv has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_iprobe has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_diffprb has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_pillar has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_sbump has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_otp has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_pdiode has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_mom has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : recog_pcm has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : colopen_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmetal1_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmetal1_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmetal1_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmetal1_slit has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmetal1_opc has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmet1l_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmet1l_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmet1l_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmet1l_slit has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphmet1l_opc has 0 polygons
