net,length_um
u_regfile.regs\[2\]\[29\],24.81µm
_1560_,24.78µm
_2443_,24.78µm
_1651_,24.765µm
_1620_,24.76µm
imem_addr[11],24.71µm
_0525_,24.67µm
u_regfile.regs\[2\]\[11\],24.665µm
u_regfile.regs\[6\]\[11\],24.665µm
_1599_,24.66µm
_2153_,24.66µm
dmem_addr[29],24.66µm
imem_addr[18],24.61µm
u_regfile.regs\[3\]\[29\],24.6µm
u_regfile.regs\[7\]\[19\],24.57µm
_2310_,24.56µm
u_regfile.regs\[4\]\[28\],24.505µm
_2406_,24.45µm
_0900_,24.44µm
dmem_addr[2],24.44µm
dmem_addr[4],24.44µm
_1593_,24.4µm
_2489_,24.395µm
net172,24.38µm
_0902_,24.36µm
_1165_,24.36µm
net227,24.305µm
_1389_,24.3µm
_0715_,24.24µm
_1349_,24.24µm
io_wdata[15],24.18µm
u_regfile.regs\[2\]\[5\],24.175µm
u_regfile.regs\[7\]\[5\],24.145µm
_2324_,24.14µm
u_regfile.regs\[2\]\[21\],24.125µm
dmem_rdata[28],24.12µm
dmem_addr[14],24.07µm
imem_addr[10],24.07µm
_1836_,24.035µm
_1510_,24.01µm
u_regfile.regs\[2\]\[16\],23.875µm
_2295_,23.845µm
_1385_,23.82µm
_0650_,23.785µm
_0586_,23.77µm
_1031_,23.77µm
net46,23.76µm
net47,23.76µm
_0744_,23.72µm
u_regfile.regs\[6\]\[18\],23.72µm
_1564_,23.665µm
_2465_,23.665µm
dmem_rdata[0],23.65µm
imem_data[13],23.65µm
net864,23.65µm
u_regfile.regs\[3\]\[26\],23.61µm
u_regfile.regs\[1\]\[1\],23.6µm
_1695_,23.565µm
u_regfile.regs\[1\]\[20\],23.55µm
_0838_,23.46µm
u_regfile.regs\[4\]\[17\],23.44µm
_1458_,23.4µm
u_regfile.regs\[6\]\[21\],23.385µm
_0591_,23.29µm
_0875_,23.29µm
u_regfile.regs\[2\]\[6\],23.24µm
_2290_,23.19µm
_1391_,23.17µm
u_regfile.regs\[7\]\[20\],23.17µm
dmem_addr[31],23.17µm
u_regfile.regs\[1\]\[4\],23.16µm
u_regfile.regs\[1\]\[27\],23.08µm
_1504_,23.04µm
_1720_,22.975µm
u_regfile.regs\[5\]\[23\],22.975µm
_0770_,22.94µm
_1402_,22.92µm
_2433_,22.87µm
dmem_addr[27],22.86µm
dmem_wdata[26],22.86µm
u_regfile.regs\[2\]\[24\],22.855µm
dmem_addr[3],22.81µm
io_wdata[26],22.8µm
_1206_,22.785µm
_1448_,22.755µm
net187,22.74µm
_0885_,22.735µm
_1629_,22.7µm
u_regfile.regs\[5\]\[11\],22.69µm
u_regfile.regs\[2\]\[2\],22.59µm
_1769_,22.51µm
_1608_,22.45µm
_1471_,22.44µm
u_regfile.regs\[2\]\[31\],22.435µm
dmem_addr[16],22.38µm
_0920_,22.35µm
_1864_,22.33µm
_1948_,22.33µm
_2374_,22.285µm
_1095_,22.27µm
u_regfile.regs\[1\]\[17\],22.26µm
_2274_,22.21µm
io_rdata[27],22.2µm
_2456_,22.195µm
_0628_,22.185µm
u_regfile.regs\[7\]\[13\],22.1µm
u_regfile.regs\[7\]\[22\],22.075µm
_1623_,22.05µm
_1359_,22.03µm
_0537_,22.025µm
_0597_,22µm
_1509_,21.96µm
net165,21.91µm
u_regfile.regs\[7\]\[25\],21.905µm
_0923_,21.9µm
_1628_,21.88µm
imem_addr[16],21.85µm
_1452_,21.835µm
u_regfile.regs\[5\]\[24\],21.815µm
u_regfile.regs\[3\]\[25\],21.73µm
dmem_rdata[1],21.73µm
imem_data[4],21.73µm
_0911_,21.725µm
_0887_,21.72µm
_2392_,21.72µm
_0951_,21.715µm
u_regfile.regs\[2\]\[9\],21.695µm
u_regfile.regs\[6\]\[29\],21.68µm
imem_addr[12],21.67µm
u_regfile.regs\[6\]\[28\],21.63µm
net191,21.62µm
u_regfile.regs\[1\]\[26\],21.55µm
_2286_,21.51µm
_2211_,21.49µm
u_regfile.regs\[5\]\[22\],21.48µm
_1361_,21.44µm
u_regfile.regs\[1\]\[19\],21.44µm
u_regfile.regs\[6\]\[2\],21.43µm
u_regfile.regs\[7\]\[30\],21.42µm
_0651_,21.415µm
u_regfile.regs\[1\]\[15\],21.39µm
u_regfile.regs\[4\]\[14\],21.38µm
u_regfile.regs\[5\]\[5\],21.38µm
_1107_,21.31µm
_0842_,21.275µm
_0573_,21.26µm
io_wdata[7],21.19µm
_2279_,21.14µm
_0903_,21.115µm
net178,21.1µm
_1939_,21.06µm
_1547_,21.02µm
u_regfile.regs\[1\]\[0\],21.01µm
_0687_,21µm
_1792_,21µm
_0849_,20.98µm
dmem_wdata[28],20.94µm
u_regfile.regs\[3\]\[13\],20.89µm
u_regfile.regs\[3\]\[0\],20.88µm
u_regfile.regs\[4\]\[11\],20.79µm
_2268_,20.77µm
u_regfile.regs\[2\]\[3\],20.77µm
_1152_,20.745µm
u_regfile.regs\[4\]\[3\],20.72µm
_2023_,20.71µm
io_rdata[31],20.67µm
net164,20.59µm
_2306_,20.52µm
u_regfile.regs\[7\]\[3\],20.48µm
_1248_,20.41µm
_2189_,20.41µm
_2252_,20.37µm
net174,20.35µm
_0726_,20.29µm
dmem_rdata[23],20.28µm
io_rdata[12],20.28µm
u_regfile.regs\[6\]\[1\],20.23µm
_1150_,20.22µm
u_regfile.regs\[5\]\[27\],20.19µm
_2081_,20.11µm
_1550_,20.075µm
net29,20.045µm
_1561_,20.04µm
net229,19.98µm
_2397_,19.95µm
_1809_,19.895µm
_0724_,19.89µm
u_regfile.regs\[7\]\[11\],19.865µm
_2472_,19.81µm
_0915_,19.775µm
_2359_,19.765µm
_1554_,19.715µm
_2367_,19.68µm
u_regfile.regs\[1\]\[10\],19.65µm
u_regfile.regs\[1\]\[5\],19.605µm
_1585_,19.57µm
_2205_,19.57µm
_0745_,19.51µm
_2072_,19.51µm
_0670_,19.5µm
_1609_,19.47µm
_2333_,19.45µm
u_regfile.regs\[6\]\[12\],19.4µm
_2532_,19.39µm
u_control.V_flag,19.39µm
dmem_rdata[24],19.32µm
dmem_rdata[26],19.32µm
dmem_rdata[31],19.32µm
io_rdata[25],19.32µm
_2235_,19.275µm
_0779_,19.27µm
u_regfile.regs\[6\]\[13\],19.27µm
net128,19.26µm
_2071_,19.23µm
_1133_,19.21µm
_1857_,19.2µm
_1840_,19.125µm
u_regfile.regs\[1\]\[29\],19.09µm
_0755_,19.03µm
_0854_,18.99µm
_2127_,18.97µm
_2170_,18.97µm
_2266_,18.97µm
net122,18.97µm
u_regfile.regs\[7\]\[27\],18.8µm
imem_data[22],18.8µm
_0841_,18.72µm
u_regfile.regs\[4\]\[13\],18.72µm
_1529_,18.625µm
_2220_,18.625µm
_1748_,18.6µm
_1528_,18.54µm
_0766_,18.49µm
_1272_,18.49µm
io_wr,18.49µm
u_regfile.regs\[4\]\[26\],18.475µm
u_regfile.regs\[2\]\[7\],18.44µm
_1799_,18.42µm
_1222_,18.415µm
_1541_,18.36µm
io_rdata[29],18.36µm
_1915_,18.35µm
u_regfile.regs\[5\]\[19\],18.265µm
_1821_,18.26µm
_1065_,18.25µm
_2117_,18.25µm
_0738_,18.24µm
_1209_,18.185µm
net30,18.18µm
u_regfile.regs\[7\]\[10\],18.08µm
u_regfile.regs\[5\]\[29\],18.06µm
u_regfile.regs\[1\]\[23\],18.03µm
_1335_,18.01µm
u_regfile.regs\[7\]\[17\],18.01µm
_1438_,18µm
u_regfile.regs\[5\]\[17\],18µm
net183,17.95µm
u_regfile.regs\[3\]\[14\],17.95µm
u_regfile.regs\[1\]\[8\],17.89µm
_2335_,17.8µm
u_regfile.regs\[1\]\[30\],17.74µm
_0870_,17.71µm
u_regfile.regs\[3\]\[17\],17.705µm
net31,17.7µm
_2364_,17.685µm
net188,17.65µm
_1700_,17.64µm
u_regfile.regs\[5\]\[20\],17.64µm
net177,17.595µm
_0804_,17.575µm
_1433_,17.565µm
u_regfile.regs\[6\]\[26\],17.54µm
_1101_,17.53µm
_1556_,17.53µm
_2461_,17.53µm
_0578_,17.52µm
u_regfile.regs\[3\]\[12\],17.52µm
u_regfile.regs\[5\]\[30\],17.48µm
_2380_,17.44µm
_1313_,17.43µm
_1782_,17.42µm
dmem_rdata[19],17.4µm
dmem_rdata[25],17.4µm
imem_data[16],17.4µm
imem_data[21],17.4µm
_2297_,17.365µm
_2029_,17.35µm
_0581_,17.345µm
u_regfile.regs\[2\]\[22\],17.34µm
u_regfile.regs\[4\]\[15\],17.335µm
_1566_,17.3µm
_2289_,17.26µm
_0676_,17.23µm
net32,17.23µm
_1641_,17.22µm
_1730_,17.205µm
u_regfile.regs\[3\]\[2\],17.195µm
_0801_,17.17µm
net228,17.17µm
u_regfile.regs\[5\]\[12\],17.16µm
_0890_,17.155µm
u_regfile.regs\[6\]\[19\],17.12µm
u_regfile.regs\[2\]\[17\],17.105µm
_1562_,17.05µm
_1603_,17.05µm
_0921_,17.04µm
net190,17.035µm
u_regfile.regs\[2\]\[0\],17.035µm
_2341_,17.03µm
_2508_,17.01µm
_0871_,17.005µm
imem_data[20],16.98µm
_1386_,16.95µm
_2328_,16.94µm
_2387_,16.905µm
_0647_,16.9µm
u_regfile.regs\[2\]\[15\],16.855µm
_1203_,16.83µm
u_regfile.regs\[5\]\[4\],16.82µm
_2282_,16.8µm
_0736_,16.775µm
u_regfile.regs\[7\]\[18\],16.775µm
_1818_,16.75µm
dmem_rdata[20],16.75µm
_1240_,16.715µm
_2358_,16.69µm
u_regfile.regs\[3\]\[11\],16.69µm
u_regfile.regs\[4\]\[31\],16.595µm
u_regfile.regs\[4\]\[23\],16.585µm
net853,16.57µm
_0611_,16.56µm
_1647_,16.56µm
net203,16.51µm
_2177_,16.47µm
_2471_,16.46µm
_0874_,16.445µm
io_wdata[29],16.44µm
imem_data[28],16.39µm
_2438_,16.38µm
_1370_,16.33µm
_1683_,16.33µm
_2143_,16.33µm
net830,16.33µm
_2301_,16.285µm
_2145_,16.275µm
net8,16.27µm
net744,16.27µm
net772,16.27µm
_1411_,16.26µm
net118,16.26µm
_2243_,16.21µm
_0748_,16.2µm
_1656_,16.2µm
net166,16.195µm
_2302_,16.155µm
dmem_addr[18],16.14µm
dmem_wdata[15],16.14µm
dmem_wdata[23],16.14µm
dmem_wdata[24],16.14µm
dmem_wdata[29],16.14µm
io_wdata[30],16.14µm
u_regfile.regs\[3\]\[9\],16.135µm
_1290_,16.13µm
_1315_,16.13µm
_2323_,16.1µm
u_regfile.regs\[4\]\[27\],16.02µm
net21,16.005µm
_0816_,15.95µm
_2113_,15.945µm
_2450_,15.92µm
u_regfile.regs\[1\]\[3\],15.885µm
net845,15.88µm
_0860_,15.87µm
_1624_,15.86µm
imem_data[14],15.79µm
net831,15.79µm
u_regfile.regs\[4\]\[20\],15.73µm
_2409_,15.68µm
_1673_,15.67µm
dmem_addr[19],15.66µm
dmem_addr[23],15.66µm
u_regfile.regs\[7\]\[15\],15.63µm
_1456_,15.6µm
u_regfile.regs\[5\]\[25\],15.585µm
_1513_,15.57µm
_1321_,15.55µm
imem_addr[23],15.55µm
_1538_,15.54µm
_1406_,15.51µm
_1416_,15.5µm
clknet_leaf_23_clk,15.5µm
net856,15.5µm
_0886_,15.49µm
_2340_,15.48µm
u_regfile.regs\[7\]\[0\],15.48µm
io_rdata[23],15.43µm
u_regfile.regs\[6\]\[7\],15.33µm
u_regfile.regs\[7\]\[4\],15.31µm
net815,15.31µm
net850,15.31µm
_0827_,15.3µm
_1580_,15.28µm
net827,15.25µm
u_regfile.regs\[3\]\[22\],15.24µm
_0982_,15.235µm
_1666_,15.21µm
net20,15.2µm
_1957_,15.195µm
_0571_,15.19µm
u_regfile.regs\[6\]\[17\],15.14µm
net795,15.14µm
_2495_,15.13µm
u_regfile.regs\[4\]\[16\],15.12µm
_1904_,15.07µm
u_regfile.regs\[7\]\[16\],15.07µm
_0555_,15.01µm
_0783_,14.995µm
_0803_,14.975µm
_1268_,14.925µm
_1467_,14.9µm
_2487_,14.89µm
_1487_,14.88µm
_0645_,14.82µm
_1237_,14.82µm
net89,14.82µm
_1296_,14.81µm
_2440_,14.805µm
_2396_,14.77µm
net199,14.77µm
_1117_,14.755µm
_1793_,14.755µm
_2045_,14.745µm
_0145_,14.71µm
imem_addr[26],14.71µm
_2501_,14.695µm
_2255_,14.665µm
net848,14.66µm
_1353_,14.65µm
_1311_,14.645µm
_2474_,14.635µm
_1688_,14.605µm
_2216_,14.6µm
_2303_,14.575µm
u_regfile.regs\[2\]\[10\],14.505µm
_1503_,14.5µm
_0978_,14.49µm
_1223_,14.47µm
_1430_,14.46µm
_1345_,14.455µm
u_regfile.regs\[6\]\[14\],14.44µm
_0330_,14.41µm
_1255_,14.41µm
_1017_,14.36µm
_0280_,14.35µm
_0593_,14.34µm
_2352_,14.34µm
net84,14.34µm
_1397_,14.3µm
_1408_,14.29µm
_1841_,14.29µm
net765,14.29µm
_0376_,14.265µm
_1616_,14.24µm
u_regfile.regs\[4\]\[19\],14.23µm
_0632_,14.22µm
_1049_,14.17µm
_1168_,14.155µm
_2021_,14.14µm
_2496_,14.13µm
_0810_,14.1µm
_1275_,14.05µm
_1178_,14.04µm
u_regfile.regs\[5\]\[13\],13.99µm
dmem_rdata[15],13.99µm
dmem_rdata[18],13.99µm
io_rdata[18],13.99µm
_1160_,13.965µm
_2347_,13.955µm
_1613_,13.95µm
_0931_,13.94µm
_0737_,13.93µm
_0958_,13.92µm
_2095_,13.92µm
u_regfile.regs\[4\]\[29\],13.92µm
u_regfile.regs\[6\]\[27\],13.92µm
_2426_,13.91µm
net893,13.87µm
u_regfile.regs\[6\]\[30\],13.845µm
_0764_,13.81µm
_0847_,13.81µm
_1611_,13.81µm
_1808_,13.81µm
net882,13.81µm
_0637_,13.8µm
_0862_,13.76µm
_0014_,13.75µm
_2411_,13.75µm
_0414_,13.69µm
net319,13.69µm
u_regfile.regs\[7\]\[29\],13.63µm
_1334_,13.62µm
_2490_,13.615µm
_2338_,13.57µm
u_regfile.regs\[2\]\[18\],13.555µm
net88,13.545µm
_1600_,13.51µm
_0825_,13.5µm
_1193_,13.485µm
imem_addr[24],13.45µm
net721,13.45µm
net810,13.45µm
net836,13.45µm
_2185_,13.44µm
_1374_,13.415µm
_1156_,13.39µm
_1182_,13.39µm
_2109_,13.39µm
u_pc.pc_next\[11\],13.38µm
_1243_,13.34µm
_1993_,13.34µm
_1573_,13.335µm
net790,13.33µm
_1221_,13.32µm
_2512_,13.27µm
_2346_,13.26µm
_0941_,13.23µm
_2462_,13.22µm
_1327_,13.21µm
_2348_,13.21µm
u_regfile.regs\[6\]\[25\],13.21µm
_2503_,13.17µm
_2521_,13.165µm
_2031_,13.09µm
_1481_,13.03µm
imem_data[15],13.03µm
io_rdata[17],13.03µm
net813,13.02µm
net833,13.02µm
u_regfile.regs\[6\]\[20\],13.01µm
_2398_,12.97µm
net129,12.97µm
net794,12.97µm
_2399_,12.965µm
_0602_,12.96µm
_0723_,12.96µm
_1530_,12.96µm
net811,12.96µm
u_regfile.regs\[4\]\[7\],12.94µm
_2186_,12.915µm
io_rdata[20],12.91µm
_0288_,12.9µm
_0667_,12.9µm
_1753_,12.89µm
_2351_,12.875µm
_1072_,12.85µm
_1652_,12.85µm
u_regfile.regs\[2\]\[19\],12.85µm
_1347_,12.845µm
u_regfile.regs\[3\]\[10\],12.82µm
u_regfile.regs\[1\]\[12\],12.805µm
net839,12.8µm
_0861_,12.79µm
_1205_,12.79µm
net663,12.79µm
_1384_,12.78µm
u_regfile.regs\[3\]\[19\],12.78µm
u_regfile.regs\[3\]\[8\],12.775µm
_1497_,12.765µm
_2277_,12.74µm
_1113_,12.73µm
_2383_,12.73µm
u_regfile.regs\[4\]\[12\],12.72µm
u_regfile.regs\[4\]\[21\],12.71µm
_0839_,12.7µm
_1551_,12.69µm
u_regfile.regs\[1\]\[14\],12.69µm
_2281_,12.68µm
u_regfile.regs\[7\]\[23\],12.62µm
_0909_,12.615µm
_1955_,12.615µm
_0799_,12.61µm
_2296_,12.61µm
_0587_,12.6µm
_1681_,12.55µm
_2256_,12.49µm
net679,12.49µm
u_regfile.regs\[6\]\[22\],12.48µm
_1000_,12.43µm
net862,12.43µm
_2244_,12.37µm
_1527_,12.36µm
net205,12.355µm
_0957_,12.34µm
_1918_,12.27µm
_0698_,12.25µm
_2133_,12.25µm
_2342_,12.24µm
_1245_,12.205µm
_0703_,12.185µm
_0768_,12.16µm
_0327_,12.13µm
_2498_,12.13µm
_0437_,12.12µm
_1242_,12.12µm
_1532_,12.12µm
_2246_,12.12µm
net195,12.12µm
_0529_,12.095µm
_2176_,12.07µm
_1662_,12.06µm
_1246_,12.01µm
net100,12.01µm
net683,12.01µm
_1802_,12µm
_2510_,12µm
_2519_,11.995µm
_0610_,11.95µm
_2349_,11.95µm
net696,11.95µm
net770,11.95µm
net786,11.95µm
_1231_,11.94µm
u_regfile.regs\[3\]\[3\],11.925µm
u_regfile.regs\[6\]\[23\],11.89µm
_1094_,11.875µm
u_regfile.regs\[2\]\[23\],11.84µm
_0429_,11.83µm
_1501_,11.83µm
io_rdata[22],11.83µm
net892,11.83µm
_0451_,11.82µm
_0639_,11.82µm
_0049_,11.78µm
_0746_,11.77µm
_0899_,11.77µm
_1211_,11.77µm
_2001_,11.77µm
_2004_,11.77µm
_2373_,11.77µm
_0877_,11.76µm
_1545_,11.76µm
_1558_,11.76µm
_2293_,11.76µm
_0413_,11.71µm
imem_data[27],11.71µm
_0679_,11.66µm
net615,11.66µm
_1742_,11.655µm
_2376_,11.655µm
u_regfile.regs\[4\]\[24\],11.65µm
_0644_,11.625µm
imem_data[29],11.59µm
net766,11.59µm
u_pc.pc_next\[17\],11.58µm
_1447_,11.565µm
_2506_,11.56µm
_1083_,11.53µm
_1990_,11.53µm
net817,11.53µm
_0681_,11.52µm
_0739_,11.52µm
_0995_,11.52µm
_1403_,11.52µm
u_regfile.regs\[4\]\[18\],11.515µm
_2425_,11.505µm
_0021_,11.47µm
_1521_,11.47µm
net783,11.47µm
net867,11.47µm
net880,11.47µm
_1103_,11.46µm
_1267_,11.46µm
net180,11.46µm
u_pc.pc_next\[9\],11.46µm
u_regfile.regs\[3\]\[18\],11.455µm
_2516_,11.415µm
_0974_,11.41µm
_1463_,11.41µm
_1709_,11.41µm
_2017_,11.4µm
_1131_,11.395µm
_1424_,11.365µm
net85,11.36µm
_1614_,11.35µm
_2062_,11.35µm
_2070_,11.35µm
dmem_wdata[14],11.35µm
net706,11.35µm
net756,11.35µm
_2258_,11.3µm
_1563_,11.29µm
_1210_,11.28µm
_1767_,11.23µm
_1739_,11.225µm
_2316_,11.17µm
_1893_,11.13µm
_1208_,11.115µm
_2444_,11.11µm
_2162_,11.1µm
_1338_,11.085µm
_2272_,11.065µm
_1817_,11.05µm
_2441_,11.05µm
net628,11.05µm
net632,11.05µm
net728,11.05µm
net823,11.05µm
net888,11.05µm
_0018_,11.04µm
_0823_,11.04µm
_0897_,11.04µm
_1634_,11.04µm
_2172_,11.04µm
net891,11.04µm
_0918_,11µm
_0334_,10.99µm
_1540_,10.99µm
_1686_,10.99µm
io_rdata[21],10.99µm
net616,10.99µm
net668,10.99µm
_1643_,10.98µm
_1435_,10.96µm
_1822_,10.94µm
net691,10.93µm
net720,10.93µm
net851,10.93µm
_1476_,10.92µm
_1989_,10.92µm
_2319_,10.92µm
_0627_,10.905µm
_2270_,10.87µm
_1027_,10.86µm
_2245_,10.86µm
net216,10.86µm
_0964_,10.845µm
net883,10.835µm
_1581_,10.83µm
_1381_,10.82µm
_1789_,10.81µm
_1965_,10.81µm
net13,10.81µm
_0997_,10.8µm
u_regfile.regs\[7\]\[21\],10.8µm
_1469_,10.795µm
_2427_,10.765µm
_1498_,10.75µm
_1457_,10.7µm
_2313_,10.7µm
_2334_,10.7µm
_0787_,10.69µm
_2112_,10.68µm
_0114_,10.665µm
_1947_,10.635µm
_2262_,10.63µm
_0945_,10.625µm
_0495_,10.62µm
_0884_,10.62µm
net763,10.62µm
_0846_,10.61µm
_1312_,10.59µm
_1431_,10.59µm
_2121_,10.57µm
net22,10.57µm
net656,10.57µm
net671,10.57µm
net673,10.57µm
net676,10.57µm
net825,10.57µm
net881,10.565µm
_0674_,10.56µm
_2179_,10.56µm
_0930_,10.545µm
u_regfile.regs\[5\]\[9\],10.52µm
io_rdata[15],10.52µm
net773,10.515µm
_1329_,10.51µm
net83,10.51µm
u_regfile.regs\[5\]\[3\],10.51µm
u_regfile.regs\[5\]\[7\],10.51µm
imem_data[30],10.51µm
io_rdata[19],10.51µm
imem_addr[20],10.51µm
net658,10.51µm
net680,10.51µm
net705,10.51µm
net824,10.51µm
_1147_,10.485µm
_0517_,10.45µm
_0702_,10.45µm
_0872_,10.45µm
_1036_,10.45µm
_1368_,10.45µm
_2103_,10.45µm
_2407_,10.45µm
_2436_,10.45µm
net119,10.45µm
u_regfile.regs\[2\]\[20\],10.445µm
_1786_,10.44µm
_1038_,10.435µm
net212,10.435µm
u_regfile.regs\[1\]\[28\],10.4µm
_1383_,10.39µm
_1811_,10.39µm
_1994_,10.39µm
_2068_,10.39µm
_2171_,10.39µm
net636,10.39µm
u_regfile.regs\[7\]\[1\],10.375µm
_0671_,10.34µm
_1044_,10.34µm
u_regfile.regs\[5\]\[6\],10.34µm
_0655_,10.33µm
_1262_,10.33µm
_2008_,10.33µm
_2430_,10.33µm
dmem_wdata[25],10.33µm
_0331_,10.32µm
_1102_,10.32µm
_2102_,10.32µm
_1291_,10.28µm
_0693_,10.27µm
_1654_,10.27µm
net725,10.245µm
_1630_,10.235µm
u_regfile.regs\[3\]\[20\],10.225µm
_0664_,10.21µm
_1881_,10.21µm
_1883_,10.205µm
_1713_,10.2µm
net654,10.2µm
net818,10.15µm
_0492_,10.14µm
net820,10.125µm
_1733_,10.09µm
net99,10.09µm
net677,10.09µm
net835,10.09µm
_0186_,10.08µm
_1790_,10.08µm
_2119_,10.08µm
net874,10.08µm
_1390_,10.03µm
_1784_,10.03µm
_2231_,10.03µm
_2253_,10.03µm
net197,10.03µm
net637,10.03µm
net661,10.03µm
net738,10.03µm
_0120_,9.97µm
_1298_,9.97µm
net184,9.97µm
_0800_,9.96µm
_2223_,9.96µm
_0937_,9.92µm
imem_addr[28],9.91µm
imem_addr[31],9.91µm
_1480_,9.9µm
_1023_,9.895µm
_0758_,9.885µm
_1867_,9.85µm
_1969_,9.85µm
u_regfile.regs\[5\]\[15\],9.85µm
_1233_,9.845µm
_0375_,9.84µm
_0482_,9.84µm
_0691_,9.84µm
u_pc.pc_next\[4\],9.8µm
u_regfile.regs\[5\]\[2\],9.79µm
imem_data[26],9.79µm
_2249_,9.74µm
_2507_,9.74µm
dmem_wdata[3],9.72µm
net614,9.72µm
net793,9.72µm
_1363_,9.68µm
_0636_,9.675µm
_0353_,9.67µm
_1610_,9.67µm
u_control.Z_flag,9.67µm
dmem_addr[15],9.67µm
net657,9.67µm
net664,9.67µm
net669,9.67µm
net674,9.67µm
net681,9.67µm
net688,9.67µm
net701,9.67µm
net714,9.67µm
net730,9.67µm
net750,9.67µm
net764,9.67µm
net778,9.67µm
net802,9.67µm
net842,9.67µm
_0967_,9.66µm
_1761_,9.61µm
net101,9.61µm
net873,9.61µm
_0626_,9.6µm
_0955_,9.6µm
_1376_,9.6µm
_1618_,9.6µm
net221,9.6µm
_0556_,9.585µm
_1888_,9.58µm
_0832_,9.565µm
_0379_,9.55µm
_0521_,9.55µm
_2479_,9.55µm
net79,9.55µm
net619,9.55µm
net803,9.55µm
net808,9.55µm
_0076_,9.54µm
_1615_,9.54µm
net175,9.54µm
u_pc.pc_next\[6\],9.54µm
_0763_,9.52µm
u_regfile.regs\[5\]\[26\],9.5µm
_0811_,9.495µm
_0659_,9.49µm
_0694_,9.49µm
_2491_,9.49µm
u_pc.pc_next\[8\],9.49µm
imem_addr[27],9.49µm
_1633_,9.48µm
u_pc.pc_next\[10\],9.48µm
u_regfile.regs\[3\]\[24\],9.48µm
_2459_,9.475µm
u_regfile.regs\[5\]\[8\],9.42µm
_0136_,9.415µm
_0276_,9.39µm
_2230_,9.385µm
net733,9.38µm
_0420_,9.37µm
_0559_,9.37µm
_1768_,9.37µm
_2217_,9.37µm
_2435_,9.37µm
_2486_,9.37µm
_0386_,9.36µm
_1167_,9.36µm
_1912_,9.36µm
u_regfile.regs\[3\]\[6\],9.325µm
_1978_,9.31µm
net659,9.3µm
_2410_,9.28µm
_2522_,9.265µm
_2291_,9.25µm
_2500_,9.25µm
_0905_,9.245µm
_1216_,9.19µm
_1258_,9.19µm
_2138_,9.18µm
_2412_,9.18µm
net630,9.13µm
net814,9.13µm
_1371_,9.12µm
_2202_,9.12µm
_2529_,9.12µm
_1950_,9.11µm
net670,9.095µm
_0098_,9.07µm
_0512_,9.07µm
_1051_,9.07µm
_1382_,9.07µm
_1825_,9.07µm
_1887_,9.07µm
net198,9.07µm
imem_data[31],9.07µm
imem_addr[30],9.07µm
net618,9.07µm
net695,9.07µm
_1734_,9.06µm
_1772_,9.06µm
_2389_,9.06µm
_0625_,9.02µm
_2187_,9.02µm
_2467_,9.02µm
io_wdata[31],9.02µm
_0688_,9.015µm
_1765_,9.01µm
_2222_,9.01µm
_1300_,9µm
_2492_,8.98µm
_2391_,8.975µm
_2234_,8.965µm
_0273_,8.95µm
_0308_,8.95µm
_0388_,8.95µm
_0405_,8.95µm
_0424_,8.95µm
_1125_,8.94µm
_2315_,8.94µm
_0722_,8.935µm
_1379_,8.92µm
_1777_,8.915µm
_0913_,8.905µm
_2337_,8.905µm
_2329_,8.9µm
_0416_,8.89µm
_0614_,8.89µm
_1001_,8.89µm
_1251_,8.89µm
_1404_,8.89µm
_2201_,8.89µm
_2239_,8.89µm
_2485_,8.89µm
_0311_,8.88µm
_1263_,8.88µm
_1491_,8.88µm
_1637_,8.88µm
_2073_,8.88µm
io_wdata[14],8.88µm
net844,8.88µm
_1034_,8.835µm
imem_addr[19],8.83µm
imem_addr[29],8.83µm
_1796_,8.82µm
_2362_,8.82µm
_2509_,8.79µm
_2207_,8.76µm
_1305_,8.745µm
_2400_,8.73µm
net834,8.71µm
net838,8.71µm
_0103_,8.7µm
_0377_,8.7µm
_0660_,8.7µm
_1191_,8.7µm
_1322_,8.7µm
imem_data[23],8.7µm
dmem_wdata[16],8.7µm
dmem_wdata[18],8.7µm
io_wdata[21],8.7µm
_1944_,8.67µm
_0867_,8.65µm
net642,8.65µm
net809,8.65µm
net840,8.65µm
_0087_,8.64µm
_0150_,8.64µm
_0164_,8.64µm
_0643_,8.64µm
_1575_,8.64µm
_2016_,8.64µm
_2161_,8.62µm
_0498_,8.59µm
_0518_,8.59µm
_0588_,8.59µm
_1863_,8.59µm
_2015_,8.59µm
_2056_,8.59µm
_1924_,8.58µm
_2059_,8.58µm
u_pc.pc_next\[16\],8.58µm
u_regfile.regs\[1\]\[6\],8.54µm
_0699_,8.53µm
_1278_,8.53µm
_1591_,8.53µm
_1617_,8.53µm
_1834_,8.53µm
_2505_,8.53µm
net782,8.53µm
_1816_,8.52µm
_1953_,8.52µm
_0981_,8.515µm
_1340_,8.515µm
_2034_,8.515µm
_0523_,8.5µm
_0351_,8.47µm
_0369_,8.47µm
_0465_,8.47µm
_0483_,8.47µm
_1217_,8.47µm
u_regfile.regs\[6\]\[10\],8.47µm
imem_data[24],8.46µm
dmem_wdata[13],8.46µm
_0152_,8.455µm
_1224_,8.42µm
_2372_,8.42µm
net752,8.42µm
net858,8.42µm
_1052_,8.41µm
_1489_,8.41µm
_1919_,8.41µm
_1935_,8.41µm
_2086_,8.41µm
_2292_,8.41µm
_2476_,8.41µm
dmem_addr[25],8.41µm
_0634_,8.4µm
