net,length_um
_1735_,156.59µm
_0599_,155.435µm
clknet_leaf_19_clk,154.85µm
_0769_,154.69µm
net539,154.455µm
_1372_,153.37µm
_0809_,152.82µm
_1323_,152.025µm
net494,151.985µm
net306,151.59µm
net425,151.15µm
_0568_,150.46µm
_0592_,149.525µm
net148,149.165µm
net496,148.8µm
_1184_,148.64µm
_0497_,148.31µm
net445,148.015µm
_1249_,147.35µm
_0947_,147.295µm
_2046_,147.08µm
_0808_,146.48µm
_0711_,146.46µm
net115,146.22µm
net114,146.11µm
clknet_leaf_20_clk,145.49µm
_1355_,144.89µm
_0727_,144.615µm
clknet_leaf_7_clk,144.6µm
_1578_,144.38µm
_1158_,143.515µm
_0561_,142.1µm
_2090_,141.98µm
net41,141.735µm
_0606_,141.465µm
_0501_,141.09µm
net157,140.59µm
net587,140.37µm
_1660_,139.935µm
net339,139.715µm
net336,139.035µm
net338,139.035µm
net104,139.01µm
net431,138.34µm
clknet_leaf_9_clk,138.16µm
_0712_,138.06µm
_1983_,137.785µm
net309,137.765µm
net558,137.49µm
_0888_,137.235µm
net542,137.235µm
net376,137.195µm
net384,137.12µm
_0662_,136.79µm
net599,136.44µm
_1284_,136.355µm
_2083_,135.865µm
net585,135.74µm
clknet_leaf_1_clk,135.455µm
net105,135.44µm
net530,134.81µm
_0876_,134.305µm
_2524_,134.08µm
net527,134.02µm
_0822_,133.8µm
net326,133.48µm
net276,133.435µm
clknet_leaf_6_clk,131.65µm
net606,131.4µm
net564,131.11µm
net378,130.895µm
_2100_,130.4µm
_0678_,130.26µm
_0504_,130.15µm
net406,128.87µm
net381,128.83µm
net337,128.68µm
net394,128.375µm
net537,128.325µm
net550,127.795µm
_1215_,127.42µm
net382,126.44µm
net612,126.185µm
_1684_,125.97µm
_1266_,125.21µm
net581,125.185µm
net361,124.94µm
net55,123.94µm
_0584_,123.585µm
_0552_,123.44µm
net538,123.195µm
_1645_,122.935µm
_0973_,122.765µm
net373,122.6µm
net548,122.43µm
_0668_,122.355µm
_0851_,122.15µm
net401,121.64µm
_2055_,121.52µm
net533,121.375µm
net58,121.31µm
_1622_,121.125µm
net400,120.48µm
_1188_,120.365µm
_0565_,120.23µm
_1572_,120.09µm
_2191_,119.82µm
net526,119.68µm
_1273_,119.4µm
net379,119.28µm
net39,118.77µm
net385,118.09µm
net36,117.85µm
_0892_,117.52µm
net483,117.515µm
_1214_,116.95µm
net540,116.86µm
_2518_,116.81µm
_0856_,116.75µm
net567,116.745µm
clknet_leaf_22_clk,116.65µm
net345,116.235µm
net352,116.035µm
_0772_,115.96µm
net560,115.935µm
net363,114.585µm
_2050_,114.32µm
_1387_,114.235µm
clknet_leaf_16_clk,114.06µm
_0754_,114µm
_0882_,113.16µm
_1584_,113.05µm
net12,112.88µm
net566,112.535µm
net106,112.38µm
net59,112.16µm
_1299_,112.02µm
net554,111.765µm
net531,110.765µm
net529,110.6µm
net360,110.375µm
net110,110.35µm
_0577_,110.33µm
net107,110.23µm
net413,110.175µm
_1176_,109.97µm
_1479_,108.85µm
_1459_,108.635µm
net522,108.08µm
_1443_,107.95µm
net398,107.68µm
net5,107.61µm
_0863_,106.995µm
_1791_,106.81µm
net325,106.505µm
_0773_,106.345µm
_2131_,106.1µm
_0889_,106.08µm
net377,105.75µm
_0594_,105.48µm
_1388_,105.37µm
net335,105.225µm
net356,104.325µm
_0499_,103.93µm
net353,103.81µm
_0948_,103.7µm
net76,103.52µm
net351,103.51µm
net525,103.415µm
net252,102.925µm
net551,102.67µm
net186,101.64µm
_0502_,101.54µm
_1731_,101.07µm
_1478_,101.04µm
_2210_,100.94µm
_0545_,100.89µm
_0542_,100.86µm
net534,100.695µm
net524,100.54µm
_0743_,100.34µm
net340,100.245µm
net403,100.195µm
_1795_,99.97µm
_1050_,99.68µm
net311,99.48µm
_1220_,99.09µm
net590,99.03µm
net553,98.975µm
_1460_,98.53µm
net596,98.365µm
net323,98.32µm
net555,97.695µm
_1405_,97.495µm
net282,97.285µm
_1828_,96.355µm
net294,96.185µm
_2007_,96.13µm
net343,95.875µm
_2511_,95.535µm
net582,95.435µm
_1920_,95.415µm
_1420_,95.4µm
net320,95.145µm
net367,94.975µm
_1365_,94.61µm
_1961_,94.26µm
_1195_,94.16µm
_1980_,94.04µm
_0734_,93.98µm
_1378_,93.665µm
_2128_,93.63µm
net308,93.555µm
_1213_,93.41µm
_1302_,93.395µm
net562,93.39µm
net523,93.01µm
_1963_,92.88µm
net302,92.87µm
net90,92.71µm
_0567_,92.685µm
_0701_,91.82µm
net354,91.205µm
_0622_,90.87µm
_1703_,90.34µm
net546,90.22µm
net371,90.17µm
_1163_,90.08µm
_1543_,89.685µm
net26,89.59µm
net574,89.22µm
_1244_,89.065µm
_1154_,88.98µm
net305,88.845µm
_1542_,88.71µm
net242,88.52µm
net111,88.26µm
net72,88.26µm
net314,88.1µm
net34,87.885µm
net301,87.875µm
net404,87.87µm
_1488_,87.81µm
net324,87.57µm
net334,85.785µm
_1749_,85.705µm
_1115_,85.645µm
net383,85.55µm
net112,85.53µm
net120,85.52µm
net571,85.385µm
net298,85.33µm
_2125_,85.245µm
_0942_,84.98µm
net557,84.875µm
net603,84.7µm
